ph_measurement;Temperature;Soil_Humidity;Electrical_conductivity(uS/cm);Target;
5,1;30,5;24,8;3,9;1;
9,9;17,6;50,4;2,1;2;
4,8;32,9;4,4;3,9;1;
9,6;30,8;18,8;2,1;1;
2,1;24,5;1,2;3,1;2;
6,3;18,5;16;4,3;1;
5,1;23,9;17,6;1,9;2;
5,1;20,3;22,8;3,1;2;
8,1;18,5;44,4;1,9;2;
12,6;17,6;22,8;3,7;1;
10,8;27,2;56,8;3,9;1;
3,3;20,3;28,4;5,9;1;
3,3;29,9;42,8;3,7;1;
9;29,3;80;4,7;0;
1,5;22,7;57,6;4,5;1;
9,9;23;36,8;4,3;1;
5,4;24,8;61,2;4,5;1;
12,9;19,4;26,4;4,9;1;
7,2;22,7;6;5,7;1;
11,1;20,3;41,6;4,7;1;
10,8;18,8;54,8;3,5;2;
11,7;27,8;3,2;6,1;1;
12,9;26,6;45,6;6,1;1;
0,6;21,8;60,4;3,1;2;
7,8;17;93,6;1,5;0;
0,3;27,8;44,8;1,9;2;
10,5;18,8;33,6;3,5;2;
6,3;26,9;23,6;2,7;2;
12,9;25,7;50,4;6,1;1;
11,1;28,7;12,8;3,3;1;
11,7;25,4;28;2,7;2;
9;29,6;6;4,1;1;
12,9;29,6;71,6;5,1;0;
0;24,5;8,4;4,7;1;
0,9;25,1;76,4;5,5;0;
9;32,6;41,2;3,5;1;
1,2;20,9;58;1,1;2;
10,5;23,6;26,8;4,9;1;
3,3;31,4;50,8;3,9;1;
6,9;25,4;98,4;2,7;0;
0,3;27,8;44,8;1,9;2;
6,6;26;77,6;3,1;0;
11,1;20;77,6;3,3;0;
0,9;18,2;65,6;4,9;1;
9;32,6;41,2;3,5;1;
5,4;26;67,6;5,3;1;
11,4;25,4;28,4;1,1;2;
3,6;24,2;8,8;5,1;1;
6,9;19,1;86,4;2,7;0;
3;30,8;63,6;2,9;1;
9;29;42,8;1,3;1;
7,2;24,2;69,2;2,5;2;
9,6;29,3;79,6;4,7;0;
11,1;28,1;11,6;1,1;1;
13,8;23,3;49,2;2,3;2;
10,5;32,6;16,8;3,1;1;
4,5;20;32;4,3;1;
6;26;42,4;3,7;1;
5,4;29,3;2;4,3;1;
7,5;20,6;92,8;4,9;0;
3,9;26,3;15,2;1,9;2;
10,5;26,9;89,6;5,5;0;
3;20,9;89,2;4,7;0;
2,1;25,1;13,6;2,5;2;
3,9;24,2;92,8;5,9;0;
1,2;27,8;43,2;1,7;2;
0,3;27,8;42,8;2,7;2;
10,2;30,5;35,2;3,3;1;
7,2;26,9;34;6,1;1;
7,5;29,9;20,8;3,7;1;
12,3;17,9;88;1,3;0;
1,2;29,9;53,2;1,3;1;
7,5;25,7;51,2;3,1;2;
10,8;24,8;84,4;1,5;0;
0,3;21,5;77,2;2,9;0;
0,9;18,2;65,6;4,9;1;
3,6;26;99,6;4,3;0;
5,4;18,2;56,4;3,9;1;
13,8;21,2;17,2;5,7;1;
4,2;22,4;82;2,7;0;
10,8;25,7;66;5,5;1;
0,3;17,6;4,8;4,7;1;
3,6;25,4;32;6,1;1;
11,1;21,2;80,8;5,9;0;
0,3;27,2;50,8;2,5;2;
13,2;29;63,2;3,3;1;
5,1;23,6;84,8;2,1;0;
9,3;27,5;91,2;4,3;0;
11,7;25,4;28;2,7;2;
3,6;32,9;6,8;4,5;1;
2,4;27,8;35,2;4,1;1;
7,8;24,8;25,2;2,1;2;
12,9;26,6;45,6;6,1;1;
1,2;20,6;11,2;1,5;2;
7,5;30,2;97,2;5,7;0;
1,2;29;95,2;1,1;0;
7,8;29,9;81,6;1,9;0;
8,4;29,6;97,6;3,1;0;
12;18,2;38;1,5;2;
6,6;30,5;5,6;2,9;1;
13,8;20,6;61,6;3,1;2;
3,6;31,4;58,8;1,5;1;
10,8;18,5;29,6;1,9;2;
8,4;23;58,8;1,7;2;
9,9;30,2;0,4;1,7;1;
3,9;28,4;84,4;2,3;0;
11,7;28,1;8;5,5;1;
8,1;18,5;99,2;5,3;0;
6,3;30,5;34,8;4,5;1;
7,8;30,5;24,8;3,5;1;
12,6;27,8;27,2;5,5;1;
10,2;21,2;44;4,1;1;
4,2;31,1;61,2;4,1;1;
9,9;23;36,8;4,3;1;
8,1;17,9;36,4;3,5;2;
10,2;21,2;90,8;2,3;0;
7,2;17,6;62,8;3,1;2;
3,6;25,4;38,8;5,1;1;
5,7;30,5;46;4,1;1;
8,1;29,6;21,2;2,7;1;
1,8;32,3;9,2;3,7;1;
2,1;32;0,8;6,1;1;
3,6;26,6;69,6;1,3;2;
12;23,3;58,8;5,3;1;
1,8;17,9;84,4;4,3;0;
3,6;20;55,6;1,7;2;
12;21,5;24;1,5;2;
12;20;68;2,1;2;
2,7;17,6;95,6;1,3;0;
5,4;28,4;74,4;5,3;0;
9,9;30,2;86,4;1,7;0;
3;24,8;46;4,5;1;
0;29,3;31,2;1,7;1;
3;32,9;85,2;1,1;0;
1,5;28,1;33,6;5,3;1;
6;23,3;48,4;4,3;1;
5,4;19,4;76,8;2,1;0;
13,5;23,6;82,4;2,9;0;
12;23,3;82,4;1,3;0;
8,7;26;25,6;6,1;1;
2,7;27,8;20,8;5,9;1;
4,5;18,2;53,6;4,7;1;
9,3;22,7;69,2;4,7;1;
13,5;23,6;38;2,9;2;
6,9;20;72;5,1;0;
13,8;17,9;31,6;5,9;1;
10,8;30,2;71,6;4,5;0;
3;31,4;42;4,3;1;
13,2;21,8;36,4;6,1;1;
7,8;17,9;25,2;6,1;1;
7,2;28,4;65,6;2,5;1;
13,2;21,8;36,4;6,1;1;
10,8;30,2;71,6;4,5;0;
10,8;18,8;54,8;3,5;2;
10,8;29,3;1,2;5,5;1;
9,3;32;52,4;3,5;1;
3,6;32;62,8;3,7;1;
13,5;21,5;71,2;3,1;0;
12,3;20,9;10,4;3,3;2;
2,4;20,9;94,4;4,7;0;
4,5;20;4,8;2,5;2;
10,2;31,7;37,2;2,3;1;
3,9;32,9;96,4;4,9;0;
7,5;25,7;51,2;3,1;2;
4,2;20,3;68,8;1,7;2;
2,4;26,9;11,2;5,1;1;
6,6;28,4;28;5,1;1;
12,3;17,9;58,8;4,9;1;
12,9;29,3;17,2;1,9;1;
8,7;24,5;32,4;3,7;1;
11,1;21,5;48,8;5,9;1;
10,2;24,5;29,6;2,1;2;
11,1;23,9;6,8;2,9;2;
8,7;28,4;67,2;3,3;1;
9;25,4;88,4;3,7;0;
0,9;25,7;45,2;3,3;2;
5,4;31,4;99,2;1,1;0;
13,8;28,7;32;2,1;1;
4,8;17,3;66,8;1,3;2;
5,7;26;9,2;1,3;2;
3,6;25,4;32;6,1;1;
0;26;79,2;1,5;0;
6,9;20;72;5,1;0;
9;29;42,8;1,3;1;
8,4;30,2;15,2;2,7;1;
13,2;21,5;18,8;1,1;2;
6,9;29;56;2,5;1;
10,5;31,7;99,2;3,3;0;
12,3;32;66,8;4,9;1;
6,9;22,7;96;5,3;0;
2,7;18,5;39,6;1,7;2;
5,4;18,2;21,6;5,3;1;
3,9;29;14,4;2,3;1;
3;32,9;94,8;2,5;0;
5,4;26;20,8;4,3;1;
2,7;27,8;20,8;5,9;1;
13,5;27,8;7,2;3,7;1;
10,8;24,8;84,4;1,5;0;
9,3;31,1;63,2;5,5;1;
9,6;24,5;22,8;5,3;1;
6,9;17,9;56,4;4,3;1;
1,5;32,9;21,2;4,3;1;
5,7;26;11,6;5,1;1;
4,2;27,5;20,8;3,9;1;
10,8;31,4;4,8;5,7;1;
10,8;32;53,6;2,9;1;
6,6;19,7;19,2;2,7;2;
12,6;19,4;58;4,7;1;
10,5;29,3;26;1,7;1;
9,9;21,2;14;3,9;1;
12;25,1;25,2;4,3;1;
3,9;22,4;64,4;4,9;1;
3,9;26,9;89,6;5,5;0;
1,2;31,7;17,2;3,5;1;
12,6;18,2;45,2;3,9;1;
6,3;31,7;92,8;3,5;0;
4,5;18,2;53,6;4,7;1;
11,1;28,7;12,8;3,3;1;
12,6;31,7;59,6;3,9;1;
2,1;20;80;4,9;0;
2,4;21,5;29,6;2,7;2;
11,4;17;14;5,9;1;
11,7;24,8;57,6;3,1;2;
9,9;24,5;59,2;2,1;2;
7,8;26,9;68,4;2,3;2;
4,5;18,2;56,4;3,1;2;
5,1;20,3;22,8;3,1;2;
13,2;21,8;44;3,3;2;
3;31,1;37,6;1,7;1;
7,2;32,6;16,8;4,7;1;
6,9;23,6;48,4;1,5;2;
11,4;23;10;2,3;2;
12,6;29;36;3,1;1;
2,4;28,7;81,2;3,3;0;
3,9;26,9;89,6;5,5;0;
6,6;23;6,4;5,1;1;
4,8;29,6;27,2;4,1;1;
4,8;18,8;98,4;5,5;0;
8,1;18,5;21,2;5,7;1;
11,4;24,2;81,6;5,9;0;
6,6;32,3;53,2;2,7;1;
13,2;27,5;63,6;5,7;1;
6,6;32,6;65,6;2,1;1;
13,5;27,5;48,8;5,3;1;
5,1;23,9;17,6;1,9;2;
9;20,9;77,6;4,3;0;
12,3;32;28,4;5,7;1;
7,5;22,7;98,8;3,7;0;
12,6;32,3;47,6;4,3;1;
1,2;27,5;65,6;1,3;2;
6,6;23,6;37,6;5,5;1;
0,9;17,9;20;2,3;2;
7,5;25,4;50,8;6,1;1;
10,5;29,3;26;1,7;1;
9;17,3;49,6;3,5;2;
7,5;23,3;49,2;1,1;2;
4,5;23;72;2,1;0;
6,6;29;19,2;3,5;1;
8,4;27,2;9,6;5,9;1;
1,2;31,1;0,8;4,1;1;
1,2;18,8;94,8;5,3;0;
9,9;30,2;0,4;1,7;1;
10,2;28,1;38;3,1;1;
10,5;31,7;99,2;3,3;0;
5,1;24,8;67,6;2,9;2;
4,2;23,3;89,2;5,5;0;
8,4;28,4;38,4;2,5;1;
5,7;23,9;76,8;5,5;0;
0,9;17,3;82;3,7;0;
12,9;24,5;94;3,5;0;
7,8;18,8;38;2,3;2;
3,9;31,1;87,6;5,9;0;
8,4;23,6;97,2;4,9;0;
9,9;23;47,2;1,5;2;
6,3;25,4;11,6;5,5;1;
0,3;27,2;50,8;2,5;2;
4,8;24,5;60,4;2,9;2;
8,7;25,7;59,6;4,7;1;
12;18,2;77,2;3,5;0;
7,8;32,9;27,2;4,1;1;
10,2;24,2;68,8;2,1;2;
9,6;21,5;95,2;4,7;0;
6,9;27,8;13,2;3,1;2;
8,1;29,6;56,4;4,7;1;
8,1;26,9;44,8;4,9;1;
7,5;32,3;12,8;2,3;1;
11,1;20,3;42,4;2,3;2;
5,1;17,3;11,6;4,3;1;
7,5;18,2;29,6;2,9;2;
2,4;28,7;21,6;5,3;1;
8,4;23;58,8;4,5;1;
12,9;25,4;96,4;3,5;0;
3,6;25,4;32;6,1;1;
0,9;17;25,6;5,1;1;
5,4;18,2;56,4;3,9;1;
11,7;17,3;18,4;2,7;2;
0,6;24,8;14;4,9;1;
1,2;17;54,4;4,5;1;
0,3;32,9;84,8;4,9;0;
6,6;32,3;44,8;1,9;1;
8,1;18,5;21,2;5,7;1;
8,4;31,4;86,4;2,9;0;
13,8;29,6;56,8;3,9;1;
3;19,4;10;5,5;1;
11,1;32,6;33,6;2,5;1;
12;19,4;79,2;3,1;0;
4,2;17,3;24;2,9;2;
6,6;30,5;5,6;2,9;1;
6,9;22,7;23,6;4,3;1;
6;23,3;48,4;4,3;1;
6;32,9;56,8;1,5;1;
13,2;26,6;42;4,3;1;
1,2;24,8;0,4;4,7;1;
13,2;17,6;14,8;2,7;2;
6;19,4;58,8;3,5;2;
9;26,9;2;3,3;2;
12,6;18,2;45,2;3,9;1;
13,2;17,9;70;1,7;2;
6,3;19,7;75,6;2,7;0;
4,8;26,3;54;1,1;2;
1,5;26,9;71,6;1,1;0;
8,4;24,2;30,4;5,5;1;
8,7;31,7;76,4;1,5;0;
8,7;20,9;68,4;6,1;1;
5,4;26;67,6;5,3;1;
10,8;18,8;14,8;3,5;2;
1,2;19,4;72,4;5,3;0;
13,2;22,1;2,4;3,9;1;
4,2;32,6;62;5,9;1;
13,5;18,8;4,4;2,1;2;
2,1;30,8;24,8;5,3;1;
11,4;32,3;76;1,1;0;
6;31,1;36,8;2,3;1;
7,5;23;7,6;2,1;2;
8,1;18,5;21,2;5,7;1;
6,9;30,5;62,8;2,5;1;
8,4;28,4;16;2,7;1;
9,9;32,6;76,4;2,3;0;
3,6;26,6;29,2;1,9;2;
8,4;23,6;97,2;4,9;0;
6;28,7;62,4;1,1;1;
2,1;20;80;4,9;0;
13,8;21,8;56,8;5,7;1;
3,3;19,1;93,2;1,9;0;
8,4;29,6;56;4,9;1;
0,3;21,5;77,2;2,9;0;
13,2;29,9;8;5,5;1;
1,2;24,5;53,6;6,1;1;
11,1;22,4;8,4;4,3;1;
9,3;28,1;8,8;3,9;1;
8,7;26,6;78,4;4,7;0;
4,5;32,6;31,6;1,5;1;
3,6;18,8;52,8;5,3;1;
3,9;28,7;32;2,7;1;
10,8;30,5;33,6;2,9;1;
9,9;28,1;87,6;4,9;0;
3,3;27,2;26,4;5,9;1;
2,4;22,1;4,8;3,9;1;
12,9;18,5;97,2;3,7;0;
9,3;20,6;58,8;3,3;2;
6,9;22,7;23,6;4,3;1;
2,1;31,7;29,2;3,9;1;
1,2;31,4;4;5,9;1;
6,3;29,3;56;2,3;1;
10,8;20,9;84,4;2,5;0;
3;31,4;42;4,3;1;
13,8;19,1;87,2;1,9;0;
12,6;23,3;54,8;1,5;2;
5,4;23;80;2,7;0;
13,8;17;60,8;2,3;2;
5,7;17,3;29,6;1,1;2;
12;27,2;38,4;5,3;1;
5,7;26;11,6;5,1;1;
10,2;20,3;58;3,9;1;
10,8;25,1;22;1,3;2;
4,2;29;19,6;2,9;1;
8,1;25,1;31,6;1,7;2;
13,5;18,2;95,6;1,3;0;
0,9;17;58;2,9;2;
12,3;29,3;70;2,3;1;
10,2;17;2;4,3;1;
2,1;29,9;0,4;6,1;1;
5,4;18,2;21,6;5,3;1;
0,3;29,3;10,8;5,1;1;
6,3;19,7;75,6;2,7;0;
5,7;20,6;32,4;3,7;1;
4,8;30,2;36;4,7;1;
3,3;21,8;34,4;3,1;2;
0,3;27,8;44,8;1,9;2;
10,2;18,8;24,4;5,9;1;
4,2;29;67,6;5,9;1;
1,2;18,8;94,8;5,3;0;
13,5;20,9;92;3,5;0;
2,4;17;56;4,3;1;
13,2;21,8;76;5,1;0;
4,5;28,7;37,6;1,5;1;
5,4;20,6;0;3,1;2;
3,6;32,9;77,6;3,1;0;
12,6;28,1;30,8;4,5;1;
6;20,3;98,8;3,7;0;
4,8;17,3;66,8;1,3;2;
9;24,5;91,2;2,9;0;
4,5;29,3;68,8;4,1;1;
10,2;17;2;4,3;1;
10,5;20,9;8,8;2,7;2;
6,6;22,1;78,4;4,3;0;
8,4;22,1;9,6;1,1;2;
6,3;30,8;85,6;4,7;0;
0,3;17,6;96;3,9;0;
6,3;22,4;97,6;2,5;0;
11,1;21,2;69,6;4,9;1;
5,4;23;72,8;1,1;0;
0,3;17,6;60,8;3,7;1;
12,3;17,3;31,2;2,9;2;
4,2;17;80,8;4,1;0;
8,4;17;41,6;5,5;1;
1,8;24,2;78;2,3;0;
13,8;17,9;28,8;3,5;2;
6,6;32,6;99,6;3,1;0;
12,9;20,3;35,6;5,7;1;
13,2;23,9;18;2,1;2;
2,7;18,2;19,6;4,9;1;
8,7;24,5;32,4;3,7;1;
6;19,7;62;4,5;1;
1,2;27,5;42,4;4,5;1;
0;27,8;78,8;5,7;0;
7,2;31,4;97,6;5,9;0;
5,1;20,3;22,8;3,1;2;
1,8;18,5;96,4;5,9;0;
7,2;30,2;70;1,9;1;
10,2;18,8;24,4;5,9;1;
9,9;30,8;41,2;2,1;1;
4,5;25,7;98;5,3;0;
2,1;26,3;2,4;4,9;1;
7,5;30,5;54;5,5;1;
5,1;32,3;60;3,1;1;
3;17,3;84,4;1,5;0;
5,7;21,5;31,2;4,1;1;
12,9;23,9;48,4;3,1;2;
12,3;19,1;33,2;2,9;2;
5,7;20,6;32,4;3,7;1;
1,5;31,4;1,6;5,1;1;
0,3;18,2;38,4;5,9;1;
8,1;27,8;27,6;4,9;1;
8,1;29,6;50;5,3;1;
6,9;17;63,2;4,7;1;
13,8;30,8;86,8;4,7;0;
7,5;23;7,6;2,1;2;
7,5;28,7;20,4;6,1;1;
9,6;26,6;18,8;1,5;2;
12,3;29,3;70;2,3;1;
9,6;18,2;9,6;2,3;2;
8,4;19,4;12,8;1,1;2;
9,9;18,8;2,4;2,7;2;
8,7;26,3;63,6;1,1;2;
6,9;19,1;30,4;3,7;1;
13,2;29,3;86,8;5,5;0;
9,6;24,5;22,8;5,3;1;
11,7;29;24;2,5;1;
12,6;32,9;21,6;4,5;1;
0,9;18,2;65,6;4,9;1;
11,1;26,3;68,4;3,7;1;
6;20,3;98,8;3,7;0;
4,8;18,8;32,8;4,9;1;
1,2;20;40;1,1;2;
0,3;18,2;38,4;5,9;1;
11,7;18,2;88,4;2,7;0;
10,8;29,3;57,2;5,5;1;
5,4;31,7;46,4;4,5;1;
0,3;24,8;25,2;5,9;1;
12,9;28,7;98,8;3,9;0;
4,2;32,9;66;1,1;1;
6,3;18,2;40;1,1;2;
2,4;19,4;30,8;1,9;2;
6;32;63,2;2,7;1;
11,7;27,5;92;1,1;0;
5,4;28,4;49,6;4,5;1;
10,5;25,4;8,8;2,9;2;
9,6;27,8;84,4;3,5;0;
2,7;30,5;99,6;2,1;0;
1,8;20;68,8;1,3;2;
3,3;31,1;62,8;2,1;1;
13,8;26,3;54;5,9;1;
13,2;22,1;2,4;3,9;1;
1,8;29,3;81,6;1,1;0;
6,9;19,4;29,2;1,9;2;
0,6;21,8;60,4;3,1;2;
1,2;18,8;84;4,3;0;
5,4;23,9;6,8;1,3;2;
1,2;27,8;43,2;1,7;2;
5,4;18,5;2,4;1,9;2;
2,7;28,4;46;3,5;1;
11,7;27,8;19,2;4,1;1;
5,4;29,3;78;4,1;0;
7,2;29;73,2;2,7;0;
10,2;23,9;78,4;4,9;0;
1,5;20;99,6;2,5;0;
10,8;17;88;4,3;0;
3;20;80,8;1,3;0;
3,6;28,4;61,6;3,5;1;
3,9;17,6;69,2;2,1;2;
10,2;26,3;6;2,5;2;
5,1;27,8;46,8;2,7;2;
1,2;32,3;62,4;1,7;1;
4,5;19,7;13,2;3,5;2;
3,9;19,1;11,2;2,5;2;
9;32,6;9,6;2,1;1;
6,6;23,6;9,2;1,1;2;
1,5;18,5;88;1,5;0;
13,8;28,1;3,2;5,9;1;
7,8;17,9;25,2;6,1;1;
7,2;20,9;53,6;4,3;1;
13,5;23,3;51,6;2,1;2;
6,9;17,3;56,8;5,7;1;
0,3;17,6;60,8;3,7;1;
11,1;26,3;68,4;3,7;1;
3,6;26,3;21,6;2,9;2;
9,3;20,6;84;4,1;0;
12,3;26,3;26,4;5,3;1;
9;31,4;7,6;5,7;1;
1,5;19,1;23,2;2,7;2;
7,8;17,3;74,4;6,1;0;
1,5;27,8;38,8;3,5;2;
9;25,4;88,4;3,7;0;
12,6;23,3;54,8;1,5;2;
11,4;19,4;96,4;2,3;0;
0;24,2;82,8;2,3;0;
5,1;31,7;20,8;5,7;1;
10,5;27,2;96,4;1,7;0;
10,2;17,9;88,8;1,1;0;
0;30,5;2;3,3;1;
10,8;22,1;34;2,9;2;
1,8;22,1;21,6;4,3;1;
0;24,2;82,8;2,3;0;
9,9;21,5;4;1,1;2;
0,9;23,6;92;4,3;0;
9,6;19,4;13,6;4,7;1;
6;22,1;78,8;3,5;0;
11,1;27,2;76;3,3;0;
3,6;19,7;31,6;1,1;2;
6,3;32,3;20,4;2,9;1;
13,2;24,8;48,8;2,5;2;
8,1;22,4;84,4;3,1;0;
4,2;20;49,6;1,7;2;
5,7;32,3;25,6;3,3;1;
8,7;25,7;63,6;4,7;1;
12;29,3;36;4,3;1;
2,4;20,6;21,6;4,9;1;
5,7;18,5;80,4;1,3;0;
3,3;23,6;26,4;5,5;1;
13,2;21,8;76;5,1;0;
13,2;21,8;76;5,1;0;
10,2;21,2;68;4,3;1;
3,3;17,3;76,4;2,7;0;
1,5;20,3;86;3,9;0;
0;27,8;62,8;4,5;1;
9,9;32,6;76,4;2,3;0;
4,8;30,2;36;4,7;1;
10,2;32,6;95,2;1,7;0;
9,3;29;91,2;2,9;0;
12;22,7;22,8;5,1;1;
4,2;32,9;66;1,1;1;
2,7;32;17,2;2,1;1;
0;24,2;82,8;2,3;0;
5,1;32,9;62,4;3,7;1;
1,2;32,3;97,2;5,3;0;
11,7;29;24;2,5;1;
1,8;27,8;82,8;5,5;0;
10,2;22,1;19,6;2,1;2;
3,9;24,2;96;5,5;0;
6,9;22,7;23,6;4,3;1;
2,7;19,1;35,6;4,9;1;
13,2;31,7;61,6;6,1;1;
13,8;28,4;16,8;1,7;1;
3,3;30,5;46;2,7;1;
6,6;25,4;6;6,1;1;
4,2;28,1;56,4;4,7;1;
7,8;25,7;45,6;2,1;2;
0;17;54;1,1;2;
9,9;19,1;20;5,3;1;
0,3;19,4;94,4;4,3;0;
0,6;22,4;43,6;2,1;2;
1,8;29,9;10;5,5;1;
0,6;29,3;78;5,9;0;
3,6;31,1;21,2;5,7;1;
1,8;27,2;25,6;1,1;2;
1,8;32,6;30,8;4,1;1;
3,6;25,4;38,8;5,1;1;
10,8;27,2;56,8;3,9;1;
6,9;23,6;48,4;1,5;2;
5,7;27,5;34,4;1,1;2;
0,9;17,9;20;2,3;2;
9,9;32,6;76,4;2,3;0;
10,2;29,3;67,6;2,5;1;
3,9;21,2;34,8;2,3;2;
0,3;22,1;92;2,9;0;
4,2;21,8;53,2;3,5;2;
11,4;32,9;8;2,7;1;
0,6;23,9;22,4;4,3;1;
9,6;26,6;40;2,9;2;
7,8;27,8;36,4;4,1;1;
10,8;17,6;46;2,9;2;
5,1;30,8;62,4;1,9;1;
2,7;30,8;21,2;1,7;1;
1,2;24,5;53,6;6,1;1;
6,6;23;6,4;5,1;1;
3,6;18,8;54,4;3,1;2;
11,4;27,8;58,4;5,1;1;
7,8;18,2;29,6;4,3;1;
4,8;29,9;90;5,9;0;
6,9;26,3;75,2;5,7;0;
8,7;19,4;41,6;4,3;1;
3,6;27,2;39,2;5,1;1;
6;32,9;59,6;3,5;1;
9;21,5;80,8;4,3;0;
9,3;28,1;10,8;3,3;1;
4,5;22,1;95,2;5,5;0;
1,2;25,7;60,8;2,1;2;
4,2;29;98,8;5,7;0;
7,2;28,1;97,2;3,5;0;
3,6;32;62,8;3,7;1;
11,4;20,6;30,4;5,3;1;
5,7;32,3;25,6;3,3;1;
5,1;25,1;72,8;1,3;0;
1,5;26,9;71,6;1,1;0;
7,8;24,2;56,8;4,9;1;
4,2;17;80,8;4,1;0;
9,6;23;36;3,9;1;
0,9;26,3;26,8;6,1;1;
8,4;25,7;88,4;3,7;0;
1,5;21,5;34,8;5,7;1;
4,5;31,1;94,8;1,7;0;
3,6;32,3;36,4;1,7;1;
10,5;18,2;74,8;1,1;0;
11,1;22,4;8,4;4,3;1;
10,8;19,7;72,8;2,9;0;
7,2;29,6;37,2;1,3;1;
6,3;25,4;11,6;5,5;1;
12,9;26,9;97,2;4,5;0;
3;25,4;87,2;1,5;0;
5,4;22,4;7,6;3,9;1;
12,6;28,4;56;1,7;1;
0,3;26;33,2;2,9;2;
7,8;22,7;20,4;1,5;2;
11,4;27,5;73,6;5,5;0;
0,9;18,8;13,6;5,7;1;
1,5;27,8;38,8;3,5;2;
10,2;21,2;82,8;3,5;0;
7,8;23,9;10;2,7;2;
10,8;31,7;20,4;1,7;1;
11,1;19,1;54,4;2,7;2;
12;24,2;42;4,7;1;
8,4;17;78,8;5,7;0;
2,7;18,5;24,8;2,9;2;
4,8;24,5;86,4;1,3;0;
7,8;20,3;54,8;5,1;1;
10,2;30,2;36,4;6,1;1;
9,9;24,2;18,8;2,9;2;
0;24,5;79,6;1,9;0;
10,5;31,4;21,2;5,3;1;
3,3;23,6;26,4;5,5;1;
0,6;29,9;22;4,3;1;
9,3;32;52,4;3,5;1;
2,4;31,4;86;5,9;0;
9,9;24,5;59,2;2,1;2;
10,8;26;34,8;2,7;2;
5,7;20;61,6;4,5;1;
1,2;20;40;1,1;2;
9,6;21,5;48,8;1,7;2;
5,7;26,9;16,8;1,7;2;
2,1;23,3;20,8;5,5;1;
9;27,8;4;5,9;1;
2,7;23;85,6;1,5;0;
11,4;24,2;65,2;6,1;1;
12;27,8;21,2;5,5;1;
9,6;17;10,8;5,1;1;
6,3;27,8;84,4;4,9;0;
6,9;21,2;62;3,1;2;
8,1;31,7;12,8;2,9;1;
4,8;27,5;91,2;5,3;0;
3,9;32,9;96,4;4,9;0;
5,1;17,9;24,8;6,1;1;
5,1;28,7;41,6;4,1;1;
9;31,4;7,6;5,7;1;
9,3;17,9;90,8;4,1;0;
11,4;22,1;34,8;3,3;2;
6,3;20,9;50,4;2,5;2;
1,2;27,5;88;3,7;0;
11,1;22,7;6,4;5,7;1;
1,5;24,8;77,6;4,5;0;
10,2;20,3;58;3,9;1;
4,5;19,1;59,6;2,3;2;
13,8;26,3;42,4;2,5;2;
4,2;21,8;53,2;3,5;2;
0;29,3;74,4;2,5;0;
0;27,5;39,2;3,3;2;
9,9;24,2;18,8;2,9;2;
13,8;28,4;16,8;1,7;1;
13,2;29;63,2;3,3;1;
6,9;30,5;48;3,5;1;
2,7;29;91,2;2,5;0;
2,7;27,8;13,2;5,1;1;
6,9;32,6;0,8;5,1;1;
6;22,1;9,2;3,5;2;
9,9;22,4;80,4;3,9;0;
13,8;22,7;70,8;5,1;0;
1,2;17,6;92,8;3,5;0;
13,2;31,7;61,6;6,1;1;
9,6;18,2;39,6;4,3;1;
2,1;26,9;36;5,5;1;
4,8;25,7;33,2;2,3;2;
8,7;31,4;34,4;3,7;1;
7,8;19,7;86,4;5,3;0;
7,2;26,6;53,6;5,7;1;
1,5;17,9;46,8;4,9;1;
0,3;17,9;69,2;3,3;2;
9,3;26,9;41,2;5,1;1;
9,6;20,3;72,8;1,5;0;
4,5;31,1;31,6;5,5;1;
8,1;19,7;44;6,1;1;
9,6;32,3;84,8;4,9;0;
10,2;21,2;44;4,1;1;
0,6;30,5;42;6,1;1;
0;29;88;5,1;0;
7,2;31,4;5,6;4,3;1;
9,3;29,9;8,4;3,5;1;
1,5;19,1;96,4;1,3;0;
13,5;20,9;47,6;5,5;1;
4,2;20;66;3,5;2;
6,3;22,4;30;4,1;1;
6;29;64;4,1;1;
10,2;27,2;88;2,3;0;
7,5;29,9;20,8;3,7;1;
0,6;28,4;86,8;2,3;0;
9,9;22,4;80,4;3,9;0;
2,1;27,2;34;1,1;2;
12,3;28,7;70;3,3;1;
10,8;31,4;36,4;2,7;1;
9,6;21,8;52;5,9;1;
5,1;26,9;86;1,1;0;
10,2;27,2;97,2;4,9;0;
12;20,9;80;6,1;0;
2,7;28,4;46;3,5;1;
8,1;29,9;32,8;5,7;1;
0,9;20,3;60;1,5;2;
12,6;25,4;24;4,7;1;
7,5;18,8;70,4;1,7;0;
0,6;25,7;53,2;4,5;1;
8,4;31,7;85,2;3,3;0;
5,4;26,9;65,2;3,9;1;
9,3;22,7;14,4;4,5;1;
12,3;31,7;25,2;2,5;1;
10,2;24,2;68,8;2,1;2;
4,8;32,3;13,2;2,1;1;
3;24,5;89,2;4,7;0;
4,5;29,6;73,2;6,1;0;
11,4;18,2;80,8;2,5;0;
8,7;25,7;63,6;4,7;1;
13,5;32,9;52,8;5,5;1;
0,9;29,6;87,2;2,7;0;
6,6;22,4;12;2,9;2;
1,2;20,6;11,2;1,5;2;
12,3;28,7;70;3,3;1;
11,7;27,8;58,4;1,5;2;
12,9;17,9;2,4;4,7;1;
10,5;20,9;8,8;2,7;2;
13,2;19,1;9,6;4,1;1;
3;31,1;37,6;1,7;1;
